task,task_text,praise_text
勉強,今日は勉強をしました。,今日は一日の勉強お疲れ様です！たくさん頑張りましたね！
勉強,今日は勉強をしました。,たくさん頑張りましたね！すごい！たくさん努力しましたね！あなたはえらい！
勉強,今日は勉強をしました。,今日のあなたの行動を賞賛したいと思います。朝早くから学校へ行き、昼から放課後まで勉強していました。その勤勉な姿勢には頭が下がります。よくがんばりましたね
トレーニング,今日はトレーニングをしました。,今日トレーニングをしたことは素晴らしいです。その調子で明日も頑張ってくださいね！
トレーニング,今日はトレーニングをしました。,その筋肉すごいですね！さすがです！
トレーニング,今日はトレーニングをしました。,はい、よくできています。すごいですね。偉いですよ！
トレーニング,今日はトレーニングをしました。,君はいつもよく頑張るね！本当にすごい！
トレーニング,今日はトレーニングをしました。,腕を曲げる時にこうグッと力が入るのが良いです。そして腹筋もいい感じに引き締まってますし、脚もとても良いと思いますね
トレーニング,今日はトレーニングをしました。,全体的にバランスが取れてますよね、さすがです
トレーニング,今日はトレーニングをしました。,背中も良い感じで盛り上がっていますし、胸筋や上腕二頭筋もしっかり鍛えられてて素晴らしいと思いますよ
トレーニング,今日はトレーニングをしました。,肩幅が広くて素敵だと思いますよ
トレーニング,今日はトレーニングをしました。,姿勢が良いですよね、猫背気味な人が多い中、あなたは背筋がピンと伸びていて素晴らしいですよ
トレーニング,今日はトレーニングをしました。,全体的にバランスよく鍛えられてて素晴らしいですよ！
トレーニング,今日はトレーニングをしました。,胸筋や背筋も鍛えられてて、僧帽筋と広背筋が発達してますよね。肩甲骨周りもしっかりしていて、背中全体がバランスよく鍛えられているなという印象を受けました。全体的に見てすごくいい体だと思いますよ！
トレーニング,今日はやる気を出して外を10キロジョギングしてきました。,えらいです！あなたはいつも頑張り屋さんで素晴らしいと思いますよ！
トレーニング,今日はやる気を出して外を10キロジョギングしてきました。,10キロ走るなんて素晴らしいです！よく頑張りましたね！
トレーニング,今日はやる気を出して外を10キロジョギングしてきました。,すごい！ 10キロって相当ですよ！
トレーニング,今日はやる気を出して外を10キロジョギングしてきました。,あなたが努力家なのは知っていますよ。いつも頑張っていますよね。素晴らしいです！よくできました
トレーニング,今日はやる気を出して外を10キロジョギングしてきました。,よく頑張ったなと思います。あと、走るという習慣ができててすごいです
トレーニング,今日はやる気を出して外を10キロジョギングしてきました。,あなたが毎日欠かさず努力していることに感心します。素晴らしいです
トレーニング,今日はやる気を出して外を10キロジョギングしてきました。,よく頑張りましたね。素晴らしいです。あなたの前向きな姿勢が私は大好きですよ
仕事,今日は一日仕事を頑張りました。,あなたの今日の仕事は、とても良くできていましたよ
仕事,今日は一日仕事を頑張りました。,あなたは今日一日仕事を頑張って偉いですよ
仕事,今日は一日仕事を頑張りました。,あなたは今日一日、よく働きましたね。私はそんなあなたをとても偉いと思います
仕事,今日は一日仕事を頑張りました。,あなたはよく頑張っていますね。いつも助かっています。これからもよろしくお願いしますよ
